synthetic_sample_index,source_event_id,source_start,source_end,source_length,used_start_in_source,used_length,real_background_window,background_rule,insert_at,insert_end,original_background_energy,inserted_event_energy,final_aggregate_energy
0,10,26020,26112,92,0,92,51,full_window_off,358,450,230858.84375,55157.8203125,286016.65625
1,74,179372,179476,104,0,104,126,full_window_off,50,154,110493.578125,80095.53125,190589.109375
2,10,26020,26112,92,0,92,93,full_window_off,247,339,260189.8125,55157.8203125,315347.625
3,2,7086,7251,165,0,165,135,full_window_off,189,354,295839.5625,105656.671875,401496.25
4,1,3535,3637,102,0,102,20,full_window_off,186,288,137494.390625,73844.828125,211339.25
5,61,150139,150241,102,0,102,161,full_window_off,177,279,150951.96875,75344.296875,226296.265625
6,25,57856,57938,82,0,82,188,full_window_off,197,279,310666.1875,68976.203125,379642.40625
7,26,60341,60443,102,0,102,86,full_window_off,4,106,258583.875,74546.4296875,333130.3125
8,25,57856,57938,82,0,82,100,full_window_off,395,477,256139.328125,68976.203125,325115.5
9,62,150661,150766,105,0,105,154,full_window_off,222,327,207612.453125,81628.09375,289240.5625
10,9,24365,24468,103,0,103,78,full_window_off,408,511,96551.859375,75029.515625,171581.375
11,3,9728,9817,89,0,89,172,full_window_off,290,379,135575.8125,73056.265625,208632.078125
12,24,53760,53859,99,0,99,154,full_window_off,346,445,207612.453125,75184.921875,282797.375
13,3,9728,9817,89,0,89,22,full_window_off,282,371,157262.625,73056.265625,230318.875
14,84,199751,199853,102,0,102,4,full_window_off,273,375,190967.53125,74521.765625,265489.3125
15,11,26859,26959,100,0,100,129,full_window_off,257,357,236252.15625,70429.3359375,306681.5
16,7,20279,20381,102,0,102,134,full_window_off,368,470,163804.53125,73450.2265625,237254.78125
17,73,176702,176766,64,0,64,5,full_window_off,110,174,254262.15625,45871.7734375,300133.9375
18,20,46651,46751,100,0,100,88,full_window_off,59,159,123841.1484375,73615.375,197456.53125
19,72,172571,172674,103,0,103,153,full_window_off,331,434,128014.234375,75368.9609375,203383.203125
20,16,37882,37983,101,0,101,3,full_window_off,375,476,121064.3359375,74581.609375,195645.953125
21,24,53760,53859,99,0,99,130,full_window_off,376,475,294654.71875,75184.921875,369839.65625
22,3,9728,9817,89,0,89,1,full_window_off,2,91,246321.578125,73056.265625,319377.875
23,13,30565,30667,102,0,102,11,full_window_off,337,439,112966.875,75012.859375,187979.734375
24,51,126698,126799,101,0,101,190,full_window_off,330,431,328092.8125,70472.09375,398564.9375
25,81,193103,193208,105,0,105,46,full_window_off,117,222,89935.0,79812.765625,169747.765625
26,72,172571,172674,103,0,103,47,full_window_off,23,126,102366.9609375,75368.96875,177735.921875
27,56,137722,137823,101,0,101,157,full_window_off,398,499,239905.703125,74622.453125,314528.1875
28,78,187620,187724,104,0,104,24,full_window_off,315,419,175771.15625,79509.625,255280.78125
29,71,172032,172084,52,0,52,138,full_window_off,377,429,205488.96875,45132.1640625,250621.140625
30,71,172032,172084,52,0,52,87,full_window_off,18,70,214405.03125,45132.1640625,259537.21875
31,38,93059,93162,103,0,103,38,full_window_off,46,149,183197.625,77674.765625,260872.390625
32,10,26020,26112,92,0,92,137,full_window_off,212,304,214370.84375,55157.8203125,269528.65625
33,45,109568,109657,89,0,89,147,full_window_off,232,321,201375.375,73264.6953125,274640.0625
34,53,130406,130508,102,0,102,18,full_window_off,349,451,175421.703125,74836.109375,250257.8125
35,38,93059,93162,103,0,103,31,full_window_off,333,436,122462.640625,77674.765625,200137.40625
36,62,150661,150766,105,0,105,11,full_window_off,78,183,112966.875,81628.09375,194594.953125
37,1,3535,3637,102,0,102,51,full_window_off,41,143,230858.84375,73844.8359375,304703.6875
38,60,147780,147884,104,0,104,101,full_window_off,400,504,273112.5625,75098.859375,348211.40625
39,63,153089,153109,20,0,20,122,full_window_off,251,271,185809.40625,39088.4140625,224897.8125
40,4,14303,14336,33,0,33,16,full_window_off,295,328,164205.40625,28000.96484375,192206.375
41,0,71,173,102,0,102,9,full_window_off,90,192,167234.28125,74465.046875,241699.328125
42,75,183041,183144,103,0,103,89,full_window_off,290,393,249778.796875,77886.1796875,327665.0
43,34,83405,83510,105,0,105,34,full_window_off,151,256,126830.9609375,80016.1640625,206847.125
44,7,20279,20381,102,0,102,152,full_window_off,75,177,132402.65625,73450.2265625,205852.875
45,31,76862,76926,64,0,64,190,full_window_off,265,329,328092.8125,45861.53125,373954.375
46,38,93059,93162,103,0,103,106,full_window_off,321,424,313681.53125,77674.765625,391356.28125
47,21,50299,50401,102,0,102,126,full_window_off,358,460,110493.578125,75327.9296875,185821.515625
48,48,119293,119392,99,0,99,87,full_window_off,60,159,214405.03125,70009.09375,284414.125
49,21,50299,50401,102,0,102,185,full_window_off,222,324,223225.359375,75327.9375,298553.3125
50,25,57856,57938,82,0,82,82,full_window_off,249,331,101499.015625,68976.203125,170475.203125
51,45,109568,109657,89,0,89,138,full_window_off,109,198,205488.96875,73264.703125,278753.6875
52,55,135025,135127,102,0,102,86,full_window_off,386,488,258583.875,74846.7421875,333430.625
53,13,30565,30667,102,0,102,30,full_window_off,189,291,161399.53125,75012.859375,236412.375
54,43,103375,103477,102,0,102,135,full_window_off,166,268,295839.5625,74116.75,369956.3125
55,77,185156,185258,102,0,102,92,full_window_off,53,155,275206.4375,74918.6328125,350125.09375
56,10,26020,26112,92,0,92,189,full_window_off,56,148,190261.484375,55157.82421875,245419.3125
57,80,192899,193002,103,0,103,55,full_window_off,38,141,229844.96875,74908.8984375,304753.875
58,25,57856,57938,82,0,82,122,full_window_off,184,266,185809.40625,68976.203125,254785.59375
59,66,157675,157778,103,0,103,121,full_window_off,164,267,165033.625,75073.3515625,240107.0
60,53,130406,130508,102,0,102,189,full_window_off,169,271,190261.484375,74836.109375,265097.59375
61,13,30565,30667,102,0,102,81,full_window_off,345,447,102885.484375,75012.859375,177898.359375
62,18,43539,43642,103,0,103,185,full_window_off,241,344,223225.359375,75178.9609375,298404.3125
63,51,126698,126799,101,0,101,62,full_window_off,379,480,220284.21875,70472.0859375,290756.3125
64,3,9728,9817,89,0,89,58,full_window_off,177,266,304818.875,73056.2734375,377875.15625
65,40,95167,95268,101,0,101,92,full_window_off,60,161,275206.4375,74790.4765625,349996.9375
66,19,45194,45296,102,0,102,20,full_window_off,235,337,137494.390625,74469.53125,211963.921875
67,29,69797,69901,104,0,104,110,full_window_off,241,345,133407.625,81518.4453125,214926.0625
68,59,146490,146591,101,0,101,107,full_window_off,266,367,224587.203125,73714.5078125,298301.6875
69,49,120055,120156,101,0,101,129,full_window_off,254,355,236252.15625,70873.6953125,307125.8125
70,26,60341,60443,102,0,102,47,full_window_off,323,425,102366.9609375,74546.4296875,176913.390625
71,29,69797,69901,104,0,104,107,full_window_off,80,184,224587.203125,81518.4453125,306105.65625
72,36,87780,87884,104,0,104,102,full_window_off,256,360,121718.0859375,79536.734375,201254.8125
73,44,106926,107026,100,0,100,70,full_window_off,397,497,319029.0,70838.4609375,389867.4375
74,43,103375,103477,102,0,102,158,full_window_off,302,404,209069.375,74116.75,283186.125
75,47,114207,114308,101,0,101,173,full_window_off,52,153,271702.09375,71206.03125,342908.125
76,78,187620,187724,104,0,104,167,full_window_off,205,309,168294.5625,79509.625,247804.171875
77,62,150661,150766,105,0,105,101,full_window_off,109,214,273112.5625,81628.09375,354740.65625
78,67,160181,160283,102,0,102,47,full_window_off,129,231,102366.9609375,74627.09375,176994.046875
79,44,106926,107026,100,0,100,164,full_window_off,158,258,129023.7890625,70838.4609375,199862.25
80,42,99911,100013,102,0,102,9,full_window_off,47,149,167234.28125,76559.90625,243794.1875
81,4,14303,14336,33,0,33,16,full_window_off,416,449,164205.40625,28000.966796875,192206.375
82,71,172032,172084,52,0,52,161,full_window_off,25,77,150951.96875,45132.1640625,196084.125
