synthetic_sample_index,source_event_id,source_start,source_end,source_length,used_start_in_source,used_length,real_background_window,background_rule,insert_at,insert_end,original_background_energy,inserted_event_energy,final_aggregate_energy
0,63,153089,153109,20,0,20,54,full_window_off,488,508,252256.375,39088.4140625,291344.8125
1,38,93059,93162,103,0,103,103,full_window_off,307,410,252668.265625,77674.765625,330343.03125
2,56,137722,137823,101,0,101,33,full_window_off,124,225,212489.90625,74622.453125,287112.375
3,30,72139,72244,105,0,105,185,full_window_off,291,396,223225.359375,79534.078125,302759.4375
4,31,76862,76926,64,0,64,146,full_window_off,331,395,176447.0,45861.53125,222308.53125
5,33,79532,79636,104,0,104,80,full_window_off,365,469,99940.875,79999.0859375,179939.96875
6,47,114207,114308,101,0,101,30,full_window_off,296,397,161399.53125,71206.03125,232605.5625
7,50,122444,122545,101,0,101,99,full_window_off,298,399,202124.828125,73052.703125,275177.5
8,77,185156,185258,102,0,102,64,full_window_off,172,274,236850.0625,74918.625,311768.6875
9,16,37882,37983,101,0,101,127,full_window_off,165,266,298955.34375,74581.6171875,373536.96875
10,29,69797,69901,104,0,104,137,full_window_off,166,270,214370.84375,81518.4453125,295889.3125
11,39,93263,93368,105,0,105,86,full_window_off,105,210,258583.875,79813.4453125,338397.3125
12,10,26020,26112,92,0,92,163,full_window_off,38,130,246093.6875,55157.8203125,301251.5
13,27,65664,65770,106,0,106,132,full_window_off,53,159,260669.5,82357.671875,343027.15625
14,55,135025,135127,102,0,102,145,full_window_off,272,374,169700.875,74846.75,244547.609375
15,25,57856,57938,82,0,82,4,full_window_off,382,464,190967.53125,68976.203125,259943.71875
16,27,65664,65770,106,0,106,158,full_window_off,80,186,209069.375,82357.671875,291427.0625
17,13,30565,30667,102,0,102,154,full_window_off,386,488,207612.453125,75012.859375,282625.3125
18,73,176702,176766,64,0,64,148,full_window_off,110,174,239896.21875,45871.7734375,285768.0
19,77,185156,185258,102,0,102,132,full_window_off,70,172,260669.5,74918.625,335588.125
20,10,26020,26112,92,0,92,171,full_window_off,115,207,294441.96875,55157.82421875,349599.8125
21,65,156258,156364,106,0,106,28,full_window_off,114,220,81830.53125,81825.2890625,163655.8125
22,24,53760,53859,99,0,99,55,full_window_off,279,378,229844.96875,75184.921875,305029.875
23,77,185156,185258,102,0,102,178,full_window_off,304,406,154111.71875,74918.6328125,229030.328125
