synthetic_sample_index,source_event_id,source_start,source_end,source_length,used_start_in_source,used_length,real_background_window,background_rule,insert_at,insert_end,original_background_energy,inserted_event_energy,final_aggregate_energy
0,412,24762,24772,10,0,10,52,insert_interval_off,442,452,309292.25,863.1102905273438,310155.375
1,3056,175878,175912,34,0,34,124,insert_interval_off,40,74,235473.453125,2910.95458984375,238384.40625
2,424,25386,25410,24,0,24,93,insert_interval_off,388,412,223600.390625,2104.133544921875,225704.53125
3,112,6731,6741,10,0,10,133,insert_interval_off,218,228,313812.4375,845.496826171875,314657.9375
4,42,2636,2664,28,0,28,18,insert_interval_off,252,280,277499.28125,2584.360107421875,280083.625
5,2516,145020,145030,10,0,10,160,insert_interval_off,204,214,97029.1328125,843.7711181640625,97872.90625
6,1028,59117,59127,10,0,10,188,insert_interval_off,262,272,211125.84375,849.1251220703125,211974.984375
7,1098,63168,63198,30,0,30,86,insert_interval_off,47,77,260035.84375,2584.156005859375,262620.0
8,1051,60538,60548,10,0,10,100,insert_interval_off,473,483,239746.9375,850.6441650390625,240597.5625
9,2570,147992,148003,11,0,11,152,insert_interval_off,306,317,247263.421875,2541.41796875,249804.859375
10,385,23225,23254,29,0,29,76,insert_interval_off,466,495,237072.6875,2700.245849609375,239772.9375
11,153,9913,9925,12,0,12,171,insert_interval_off,348,360,130687.25,1056.08837890625,131743.34375
12,988,56783,56824,41,0,41,151,insert_interval_off,459,500,144566.453125,3501.74755859375,148068.203125
13,150,9676,9759,83,0,83,95,least_active_fallback,0,83,125653.4375,7558.767578125,133212.203125
14,1720,99409,99419,10,0,10,8,insert_interval_off,27,37,188328.9375,861.8900146484375,189190.8125
15,194,12470,12480,10,0,10,14,insert_interval_off,481,491,158867.4375,854.3695678710938,159721.8125
16,2931,168607,168616,9,0,9,160,insert_interval_off,49,58,97029.1328125,766.7730712890625,97795.90625
17,270,16924,16935,11,0,11,54,insert_interval_off,292,303,165735.640625,972.039306640625,166707.671875
18,1163,67009,67019,10,0,10,95,insert_interval_off,108,118,125653.4375,854.7280883789062,126508.171875
19,2544,146657,146666,9,0,9,61,insert_interval_off,56,65,181103.15625,774.4329833984375,181877.59375
20,2586,148938,148948,10,0,10,176,insert_interval_off,3,13,96270.203125,831.0709228515625,97101.2734375
21,1520,87712,87721,9,0,9,161,insert_interval_off,388,397,92449.1875,765.2540283203125,93214.4375
22,2982,171540,171551,11,0,11,80,insert_interval_off,153,164,207612.21875,920.9801635742188,208533.1875
23,2469,142336,142363,27,0,27,29,insert_interval_off,58,85,242579.140625,2306.697509765625,244885.84375
24,2092,121653,121689,36,0,36,130,insert_interval_off,137,173,198350.09375,3206.93896484375,201557.03125
25,1769,102215,102225,10,0,10,71,insert_interval_off,252,262,200827.140625,815.07861328125,201642.21875
26,3337,192095,192143,48,0,48,194,insert_interval_off,157,205,273316.5,4140.82421875,277457.34375
27,2688,154762,154772,10,0,10,82,insert_interval_off,197,207,114662.90625,847.5263671875,115510.421875
28,2683,154406,154447,41,0,41,134,insert_interval_off,24,65,327448.375,3544.46533203125,330992.8125
29,2456,141559,141570,11,0,11,146,insert_interval_off,189,200,113874.671875,886.8023681640625,114761.46875
30,3223,185552,185562,10,0,10,124,insert_interval_off,150,160,235473.453125,837.59033203125,236311.03125
31,37,2306,2382,76,0,76,95,least_active_fallback,0,76,125653.4375,6612.802734375,132266.25
32,1284,74037,74078,41,0,41,21,insert_interval_off,466,507,80783.5,3510.61279296875,84294.109375
33,2351,136014,136016,2,0,2,148,insert_interval_off,369,371,151804.03125,164.36044311523438,151968.390625
34,2287,132506,132541,35,0,35,150,insert_interval_off,29,64,134238.828125,2983.893310546875,137222.71875
35,3013,173291,173320,29,0,29,144,insert_interval_off,366,395,132846.796875,2497.37646484375,135344.171875
36,1369,78948,79010,62,0,62,96,insert_interval_off,361,423,124305.3125,5309.4833984375,129614.796875
37,764,44069,44079,10,0,10,96,insert_interval_off,191,201,124305.3125,855.5399780273438,125160.8515625
38,467,27622,27647,25,0,25,20,insert_interval_off,178,203,83207.203125,2164.098388671875,85371.296875
