synthetic_sample_index,source_event_id,source_start,source_end,source_length,used_start_in_source,used_length,real_background_window,background_rule,insert_at,insert_end,original_background_energy,inserted_event_energy,final_aggregate_energy
0,1875,108921,108932,11,0,11,143,insert_interval_off,313,324,164541.078125,2590.20751953125,167131.28125
1,111,6656,6694,38,0,38,42,insert_interval_off,345,383,169955.375,3322.661376953125,173278.03125
2,3396,195527,195537,10,0,10,30,insert_interval_off,26,36,191331.671875,844.4434814453125,192176.125
3,3276,188484,188495,11,0,11,188,insert_interval_off,185,196,211125.84375,920.21630859375,212046.0625
4,1398,80656,80666,10,0,10,122,insert_interval_off,103,113,183645.09375,2492.839111328125,186137.921875
5,1135,65379,65427,48,0,48,77,insert_interval_off,326,374,154389.609375,4204.6806640625,158594.28125
6,1072,61663,61674,11,0,11,80,insert_interval_off,135,146,207612.21875,2506.64013671875,210118.859375
7,2645,152294,152305,11,0,11,29,insert_interval_off,97,108,242579.140625,906.0169677734375,243485.15625
8,870,50168,50176,8,0,8,176,insert_interval_off,435,443,96270.203125,660.8533935546875,96931.0625
9,1741,100531,100541,10,0,10,30,insert_interval_off,364,374,191331.671875,857.0241088867188,192188.6875
10,1713,99002,99011,9,0,9,165,insert_interval_off,203,212,118103.4140625,769.7762451171875,118873.1875
11,3477,200415,200444,29,0,29,157,insert_interval_off,32,61,79881.8046875,2551.71826171875,82433.515625
12,2526,145659,145694,35,0,35,55,insert_interval_off,294,329,317818.15625,2905.6455078125,320723.8125
13,872,50273,50314,41,0,41,133,insert_interval_off,170,211,313812.4375,3494.81982421875,317307.28125
14,2224,129025,129035,10,0,10,113,insert_interval_off,321,331,168189.390625,846.6660766601562,169036.0625
15,3459,199362,199373,11,0,11,1,insert_interval_off,441,452,288559.59375,933.0609130859375,289492.65625
16,380,23039,23040,1,0,1,102,insert_interval_off,166,167,156315.84375,65.8368148803711,156381.6875
17,2225,129083,129115,32,0,32,140,insert_interval_off,424,456,97617.109375,2752.92919921875,100370.0390625
18,1399,80681,80709,28,0,28,181,insert_interval_off,256,284,160999.5625,2616.549072265625,163616.125
19,709,40920,40956,36,0,36,73,insert_interval_off,0,36,266084.53125,3201.21630859375,269285.75
20,1840,106148,106192,44,0,44,130,insert_interval_off,462,506,198350.09375,3817.863037109375,202167.953125
21,782,45102,45132,30,0,30,59,insert_interval_off,423,453,202650.796875,2616.86279296875,205267.671875
22,1531,88315,88361,46,0,46,192,insert_interval_off,195,241,230025.6875,3977.118408203125,234002.8125
23,3429,197576,197614,38,0,38,179,insert_interval_off,352,390,117305.65625,3229.181396484375,120534.8359375
