synthetic_sample_index,source_event_id,source_start,source_end,source_length,used_start_in_source,used_length,real_background_window,background_rule,insert_at,insert_end,original_background_energy,inserted_event_energy,final_aggregate_energy
0,54,31086,31089,3,0,3,42,full_window_off,433,436,97319.0546875,6312.0224609375,103631.078125
1,404,180660,180663,3,0,3,106,full_window_off,62,65,195203.96875,5268.7119140625,200472.671875
2,56,32369,32370,1,0,1,75,full_window_off,301,302,138741.265625,1202.9835205078125,139944.25
3,14,9453,9454,1,0,1,113,full_window_off,278,279,196288.84375,1301.668212890625,197590.5
4,5,4737,4738,1,0,1,16,full_window_off,232,233,133022.78125,877.154052734375,133899.9375
5,333,156014,156016,2,0,2,139,full_window_off,220,222,175922.234375,4520.22509765625,180442.453125
6,136,69513,69516,3,0,3,190,full_window_off,233,236,166415.453125,5349.58740234375,171765.03125
7,145,73834,73836,2,0,2,69,full_window_off,6,8,145529.859375,3335.322509765625,148865.1875
8,139,70986,70988,2,0,2,82,full_window_off,469,471,136211.0625,3820.04638671875,140031.125
9,340,158387,158389,2,0,2,128,full_window_off,278,280,185246.1875,4528.3994140625,189774.578125
10,50,29305,29307,2,0,2,58,full_window_off,509,511,210101.03125,4614.03515625,214715.0625
11,20,13294,13296,2,0,2,153,full_window_off,349,351,131587.6875,4500.24609375,136087.9375
12,130,67494,67496,2,0,2,128,full_window_off,427,429,185246.1875,4661.5546875,189907.734375
13,19,12105,12108,3,0,3,19,full_window_off,339,342,110443.015625,4980.61572265625,115423.625
14,460,200180,200183,3,0,3,5,full_window_off,339,342,254262.375,5561.95068359375,259824.3125
15,62,34998,35001,3,0,3,108,full_window_off,317,320,151967.28125,5388.75341796875,157356.03125
16,41,26098,26100,2,0,2,110,full_window_off,458,460,142147.5,4491.25146484375,146638.75
17,398,178915,178918,3,0,3,5,full_window_off,125,128,254262.375,5655.77392578125,259918.125
18,111,58433,58435,2,0,2,72,full_window_off,73,75,172581.40625,4519.55712890625,177100.96875
19,393,177583,177587,4,0,4,128,full_window_off,411,415,185246.1875,7727.013671875,192973.203125
20,91,46658,46662,4,0,4,0,full_window_off,463,467,174316.0625,6662.18505859375,180978.25
21,133,68109,68110,1,0,1,108,full_window_off,465,466,151967.28125,910.566162109375,152877.84375
22,16,10806,10808,2,0,2,0,full_window_off,2,4,174316.0625,3401.55810546875,177717.625
23,72,37501,37504,3,0,3,11,full_window_off,418,421,112967.0703125,4850.044921875,117817.1171875
24,279,130573,130576,3,0,3,190,full_window_off,408,411,166415.453125,5095.6064453125,171511.0625
25,444,194196,194199,3,0,3,40,full_window_off,146,149,101348.96875,4709.25,106058.21875
26,391,176345,176347,2,0,2,40,full_window_off,29,31,101348.96875,3764.8916015625,105113.859375
27,308,141411,141412,1,0,1,136,full_window_off,495,496,169299.3125,1896.6468505859375,171195.96875
28,427,189139,189142,3,0,3,20,full_window_off,393,396,140532.03125,5438.76611328125,145970.796875
29,390,176046,176048,2,0,2,113,full_window_off,418,420,196288.84375,3090.414794921875,199379.25
30,386,175449,175451,2,0,2,69,full_window_off,20,22,145529.859375,3550.749755859375,149080.609375
31,210,98463,98465,2,0,2,38,full_window_off,58,60,106362.359375,4641.326171875,111003.6875
32,57,32538,32541,3,0,3,113,full_window_off,257,260,196288.84375,4165.4453125,200454.28125
33,248,114627,114630,3,0,3,120,full_window_off,279,282,133361.40625,4867.466796875,138228.875
34,290,134708,134711,3,0,3,16,full_window_off,434,437,133022.78125,4727.88916015625,137750.671875
35,206,96431,96434,3,0,3,33,full_window_off,414,417,213541.40625,4683.59814453125,218225.0
36,338,158210,158212,2,0,2,11,full_window_off,98,100,112967.0703125,3104.6435546875,116071.7109375
37,7,4872,4876,4,0,4,42,full_window_off,50,54,97319.0546875,6159.47705078125,103478.53125
38,327,152801,152803,2,0,2,85,full_window_off,500,502,110651.34375,3471.4130859375,114122.7578125
39,345,159716,159719,3,0,3,103,full_window_off,259,262,173132.140625,5420.4736328125,178552.625
40,25,14791,14793,2,0,2,15,full_window_off,314,316,176627.1875,4584.955078125,181212.140625
41,2,3673,3676,3,0,3,8,full_window_off,111,114,146557.046875,5968.74755859375,152525.78125
42,407,181794,181797,3,0,3,72,full_window_off,361,364,172581.40625,5765.35595703125,178346.78125
43,189,90523,90525,2,0,2,36,full_window_off,189,191,100644.9921875,4613.7080078125,105258.703125
44,42,26615,26618,3,0,3,128,full_window_off,93,96,185246.1875,5206.783203125,190452.984375
45,173,84081,84083,2,0,2,190,full_window_off,302,304,166415.453125,4622.02001953125,171037.46875
46,211,98606,98608,2,0,2,87,full_window_off,400,402,240151.03125,3848.0986328125,243999.125
47,117,62070,62072,2,0,2,106,full_window_off,445,447,195203.96875,2802.406005859375,198006.375
48,263,123090,123093,3,0,3,69,full_window_off,74,77,145529.859375,5195.1904296875,150725.046875
49,114,59790,59792,2,0,2,183,full_window_off,276,278,131451.5,3471.84619140625,134923.34375
50,138,70669,70671,2,0,2,64,full_window_off,295,297,224718.90625,4463.3994140625,229182.296875
51,247,114552,114555,3,0,3,113,full_window_off,131,134,196288.84375,4994.6416015625,201283.46875
52,299,137611,137612,1,0,1,69,full_window_off,481,482,145529.859375,1203.0894775390625,146732.9375
53,72,37501,37504,3,0,3,24,full_window_off,235,238,229376.578125,4850.044921875,234226.625
54,234,107510,107513,3,0,3,113,full_window_off,206,209,196288.84375,5675.9287109375,201964.75
55,421,187418,187420,2,0,2,75,full_window_off,66,68,138741.265625,4793.81787109375,143535.09375
56,54,31086,31089,3,0,3,190,full_window_off,68,71,166415.453125,6312.0224609375,172727.46875
57,436,191800,191802,2,0,2,42,full_window_off,47,49,97319.0546875,3363.489990234375,100682.546875
58,140,71041,71043,2,0,2,103,full_window_off,218,220,173132.140625,3329.521484375,176461.65625
59,362,166155,166158,3,0,3,103,full_window_off,204,207,173132.140625,4760.3544921875,177892.5
60,292,134941,134944,3,0,3,190,full_window_off,210,213,166415.453125,5167.02734375,171582.484375
61,70,36946,36948,2,0,2,61,full_window_off,429,431,130967.890625,4670.6943359375,135638.578125
62,100,50834,50837,3,0,3,183,full_window_off,300,303,131451.5,5044.9765625,136496.46875
63,277,129544,129546,2,0,2,46,full_window_off,470,472,213791.28125,4661.6396484375,218452.9375
64,16,10806,10808,2,0,2,43,full_window_off,213,215,98184.5390625,3401.55810546875,101586.09375
65,220,102386,102388,2,0,2,75,full_window_off,75,77,138741.265625,3302.667236328125,142043.9375
66,103,53000,53002,2,0,2,16,full_window_off,292,294,133022.78125,2442.893798828125,135465.6875
67,161,80472,80475,3,0,3,90,full_window_off,300,303,127958.6640625,5156.60009765625,133115.28125
68,323,149297,149300,3,0,3,87,full_window_off,330,333,240151.03125,4545.53125,244696.5625
69,270,126614,126615,1,0,1,108,full_window_off,315,316,151967.28125,1967.0489501953125,153934.328125
70,145,73834,73836,2,0,2,40,full_window_off,402,404,101348.96875,3335.322509765625,104684.296875
71,157,78886,78888,2,0,2,87,full_window_off,100,102,240151.03125,4689.79248046875,244840.8125
72,198,93571,93574,3,0,3,85,full_window_off,319,322,110651.34375,4839.72802734375,115491.0703125
73,242,112107,112110,3,0,3,50,full_window_off,490,493,203467.0,5223.998046875,208691.0
74,236,108901,108904,3,0,3,136,full_window_off,375,378,169299.3125,4970.7548828125,174270.078125
75,257,119509,119512,3,0,3,156,full_window_off,65,68,98646.203125,5876.31103515625,104522.515625
76,424,188025,188028,3,0,3,150,full_window_off,256,259,257332.578125,5448.71875,262781.3125
77,338,158210,158212,2,0,2,85,full_window_off,137,139,110651.34375,3104.6435546875,113755.984375
78,368,168879,168881,2,0,2,40,full_window_off,160,162,101348.96875,3887.2646484375,105236.234375
79,239,110833,110835,2,0,2,142,full_window_off,196,198,124410.7578125,3868.32666015625,128279.0859375
80,227,105011,105014,3,0,3,8,full_window_off,59,62,146557.046875,6072.11376953125,152629.15625
81,25,14791,14793,2,0,2,15,full_window_off,443,445,176627.1875,4584.955078125,181212.140625
82,388,175922,175924,2,0,2,139,full_window_off,28,30,175922.234375,3076.149169921875,178998.375
83,35,23487,23489,2,0,2,42,full_window_off,288,290,97319.0546875,3990.6630859375,101309.71875
84,154,77583,77585,2,0,2,79,full_window_off,88,90,186442.296875,4518.8984375,190961.1875
85,336,158029,158032,3,0,3,44,full_window_off,33,36,109015.328125,5543.6298828125,114558.9609375
86,342,159045,159047,2,0,2,177,full_window_off,7,9,105964.84375,4452.67529296875,110417.515625
87,201,94892,94896,4,0,4,139,full_window_off,359,363,175922.234375,8139.1513671875,184061.390625
88,394,177906,177909,3,0,3,61,full_window_off,189,192,130967.890625,5525.16162109375,136493.046875
89,326,152773,152776,3,0,3,33,full_window_off,122,125,213541.40625,6834.9951171875,220376.40625
90,276,129540,129542,2,0,2,110,full_window_off,61,63,142147.5,3123.49609375,145271.0
91,234,107510,107513,3,0,3,50,full_window_off,255,258,203467.0,5675.9287109375,209142.921875
92,441,192915,192918,3,0,3,15,full_window_off,507,510,176627.1875,5189.052734375,181816.25
93,207,97131,97133,2,0,2,128,full_window_off,216,218,185246.1875,4679.8564453125,189926.046875
94,143,72455,72458,3,0,3,128,full_window_off,350,353,185246.1875,5293.1328125,190539.3125
95,66,36048,36052,4,0,4,116,full_window_off,383,387,252383.546875,5581.55224609375,257965.09375
96,178,86763,86767,4,0,4,178,full_window_off,326,330,234216.65625,7733.45556640625,241950.109375
97,153,76800,76802,2,0,2,0,full_window_off,344,346,174316.0625,4388.05078125,178704.125
98,96,48071,48074,3,0,3,125,full_window_off,267,270,348555.25,4306.46142578125,352861.6875
99,215,99262,99265,3,0,3,33,full_window_off,362,365,213541.40625,6854.37548828125,220395.78125
