synthetic_sample_index,source_event_id,source_start,source_end,source_length,used_start_in_source,used_length,real_background_window,background_rule,insert_at,insert_end,original_background_energy,inserted_event_energy,final_aggregate_energy
0,161,80472,80475,3,0,3,38,full_window_off,282,285,106362.359375,5156.60009765625,111518.953125
1,8,5036,5039,3,0,3,44,full_window_off,231,234,109015.328125,5754.666015625,114770.0
2,444,194196,194199,3,0,3,106,full_window_off,449,452,195203.96875,4709.25,199913.21875
3,158,79071,79074,3,0,3,69,full_window_off,214,217,145529.859375,6037.9150390625,151567.765625
4,409,182496,182499,3,0,3,186,full_window_off,490,493,204472.4375,4848.75927734375,209321.203125
5,346,160387,160390,3,0,3,82,full_window_off,275,278,136211.0625,4702.1953125,140913.265625
6,452,196334,196336,2,0,2,43,full_window_off,177,179,98184.5390625,4442.9990234375,102627.5390625
7,413,184570,184574,4,0,4,58,full_window_off,119,123,210101.03125,6651.873046875,216752.890625
8,258,120144,120146,2,0,2,46,full_window_off,455,457,213791.28125,4622.388671875,218413.6875
9,419,186104,186107,3,0,3,44,full_window_off,270,273,109015.328125,5043.7880859375,114059.125
10,453,196906,196909,3,0,3,120,full_window_off,109,112,133361.40625,6567.5693359375,139928.96875
11,272,127960,127962,2,0,2,105,full_window_off,333,335,180422.71875,4322.0537109375,184744.78125
12,11,5354,5357,3,0,3,43,full_window_off,435,438,98184.5390625,4901.1220703125,103085.65625
13,111,58433,58435,2,0,2,43,full_window_off,164,166,98184.5390625,4519.55712890625,102704.09375
14,81,42820,42822,2,0,2,33,full_window_off,177,179,213541.40625,4584.31005859375,218125.71875
15,403,180464,180465,1,0,1,0,full_window_off,145,146,174316.0625,1414.9364013671875,175731.0
16,27,14901,14904,3,0,3,90,full_window_off,127,130,127958.6640625,4732.40234375,132691.0625
17,365,168085,168088,3,0,3,101,full_window_off,399,402,134038.21875,4076.9296875,138115.140625
18,292,134941,134944,3,0,3,69,full_window_off,439,442,145529.859375,5167.02734375,150696.875
19,219,101897,101899,2,0,2,183,full_window_off,508,510,131451.5,4435.20849609375,135886.703125
20,271,126729,126733,4,0,4,110,full_window_off,130,134,142147.5,6956.962890625,149104.46875
21,375,171722,171725,3,0,3,110,full_window_off,460,463,142147.5,4772.47314453125,146919.96875
22,123,64838,64839,1,0,1,131,full_window_off,240,241,136980.875,697.8011474609375,137678.6875
23,85,44305,44307,2,0,2,36,full_window_off,287,289,100644.9921875,3991.842529296875,104636.8359375
24,147,74746,74748,2,0,2,19,full_window_off,218,220,110443.015625,3925.19580078125,114368.203125
25,300,137834,137837,3,0,3,46,full_window_off,487,490,213791.28125,4580.53173828125,218371.8125
26,359,164995,164997,2,0,2,82,full_window_off,477,479,136211.0625,2881.1298828125,139092.203125
27,199,94388,94391,3,0,3,24,full_window_off,18,21,229376.578125,5770.765625,235147.34375
28,432,190667,190669,2,0,2,186,full_window_off,377,379,204472.4375,1372.2685546875,205844.71875
29,47,28244,28247,3,0,3,43,full_window_off,20,23,98184.5390625,6273.83740234375,104458.375
30,23,13977,13980,3,0,3,40,full_window_off,291,294,101348.96875,5641.3974609375,106990.375
31,30,16416,16418,2,0,2,194,full_window_off,232,234,161247.59375,4142.515625,165390.109375
32,121,63884,63887,3,0,3,82,full_window_off,402,405,136211.0625,5495.6357421875,141706.703125
33,144,73310,73313,3,0,3,8,full_window_off,25,28,146557.046875,4935.3759765625,151492.40625
34,392,177499,177502,3,0,3,19,full_window_off,324,327,110443.015625,5065.93310546875,115508.9453125
35,177,86235,86237,2,0,2,128,full_window_off,30,32,185246.1875,4114.5478515625,189360.734375
36,413,184570,184574,4,0,4,113,full_window_off,228,232,196288.84375,6651.873046875,202940.71875
37,95,47482,47484,2,0,2,190,full_window_off,154,156,166415.453125,3084.16650390625,169499.625
38,226,104984,104985,1,0,1,58,full_window_off,118,119,210101.03125,1193.6781005859375,211294.703125
