synthetic_sample_index,source_event_id,source_start,source_end,source_length,used_start_in_source,used_length,real_background_window,background_rule,insert_at,insert_end,original_background_energy,inserted_event_energy,final_aggregate_energy
0,53,26496,26497,1,0,1,26,full_window_off,435,436,98424.0625,1016.0469360351562,99440.109375
1,399,172869,172871,2,0,2,97,full_window_off,62,64,196572.78125,2090.947998046875,198663.71875
2,55,26970,26972,2,0,2,66,full_window_off,300,302,125622.4609375,1644.654541015625,127267.109375
3,14,8417,8421,4,0,4,107,full_window_off,277,281,130752.578125,2640.584716796875,133393.15625
4,5,5872,5874,2,0,2,17,full_window_off,232,234,182165.46875,1605.8255615234375,183771.3125
5,328,151417,151419,2,0,2,161,full_window_off,220,222,110320.265625,2129.723876953125,112449.984375
6,134,60843,60844,1,0,1,187,full_window_off,234,235,106694.53125,1209.5009765625,107904.03125
7,143,64324,64325,1,0,1,63,full_window_off,6,7,177144.390625,326.5812683105469,177470.96875
8,137,62283,62284,1,0,1,85,full_window_off,470,471,119276.3984375,866.4679565429688,120142.8671875
9,335,152796,152798,2,0,2,143,full_window_off,278,280,182008.53125,1485.992431640625,183494.515625
10,50,25090,25091,1,0,1,45,full_window_off,510,511,113243.09375,566.9862670898438,113810.078125
11,20,9941,9942,1,0,1,173,full_window_off,350,351,126703.546875,1225.170654296875,127928.71875
12,129,57340,57341,1,0,1,143,full_window_off,428,429,182008.53125,859.5626831054688,182868.09375
13,19,9775,9776,1,0,1,20,full_window_off,340,341,96608.859375,394.1799621582031,97003.0390625
14,454,200420,200422,2,0,2,3,full_window_off,340,342,107898.984375,1269.325927734375,109168.3046875
15,62,29166,29168,2,0,2,104,full_window_off,318,320,134540.359375,862.233154296875,135402.59375
16,41,20040,20041,1,0,1,107,full_window_off,459,460,130752.578125,199.9490509033203,130952.53125
17,392,170759,170761,2,0,2,7,full_window_off,125,127,251169.8125,1488.2764892578125,252658.09375
18,109,50165,50167,2,0,2,63,full_window_off,73,75,177144.390625,616.1927490234375,177760.578125
19,388,169338,169339,1,0,1,143,full_window_off,413,414,182008.53125,864.2369995117188,182872.765625
20,90,40444,40446,2,0,2,3,full_window_off,465,467,107898.984375,1682.155517578125,109581.140625
21,131,58220,58221,1,0,1,104,full_window_off,465,466,134540.359375,233.94427490234375,134774.3125
22,16,9259,9262,3,0,3,3,full_window_off,2,5,107898.984375,1161.9302978515625,109060.90625
23,71,33608,33609,1,0,1,14,full_window_off,419,420,185045.625,1211.838134765625,186257.453125
24,275,127596,127597,1,0,1,190,full_window_off,410,411,113061.265625,1249.870361328125,114311.1328125
25,438,191054,191057,3,0,3,25,full_window_off,146,149,100198.6015625,3438.714111328125,103637.3125
26,386,167861,167862,1,0,1,25,full_window_off,29,30,100198.6015625,722.3069458007812,100920.90625
27,304,138798,138800,2,0,2,157,full_window_off,494,496,98240.4296875,1476.96240234375,99717.390625
28,422,182495,182497,2,0,2,20,full_window_off,394,396,96608.859375,2134.23876953125,98743.09375
29,384,167108,167109,1,0,1,126,full_window_off,419,420,135265.28125,524.2316284179688,135789.515625
30,381,166473,166474,1,0,1,63,full_window_off,20,21,177144.390625,538.015625,177682.40625
31,207,93508,93510,2,0,2,23,full_window_off,58,60,97300.296875,1458.105712890625,98758.40625
32,56,27126,27127,1,0,1,126,full_window_off,258,259,135265.28125,369.8189392089844,135635.09375
33,245,111252,111254,2,0,2,140,full_window_off,280,282,113589.75,908.5250854492188,114498.2734375
34,286,131349,131350,1,0,1,17,full_window_off,435,436,182165.46875,840.7059326171875,183006.1875
35,204,91109,91111,2,0,2,22,full_window_off,415,417,111714.015625,954.4451904296875,112668.453125
36,334,152774,152776,2,0,2,14,full_window_off,98,100,185045.625,2142.73779296875,187188.34375
37,7,6502,6503,1,0,1,26,full_window_off,51,52,98424.0625,727.9373779296875,99152.0
38,323,147522,147524,2,0,2,85,full_window_off,500,502,119276.3984375,1508.4080810546875,120784.8125
39,340,153769,153770,1,0,1,96,full_window_off,260,261,137073.90625,1043.0572509765625,138116.96875
40,24,12887,12888,1,0,1,14,full_window_off,315,316,185045.625,904.8984985351562,185950.515625
41,1,3897,3898,1,0,1,7,full_window_off,112,113,251169.8125,550.2061157226562,251720.03125
42,402,174233,174234,1,0,1,63,full_window_off,363,364,177144.390625,733.4085083007812,177877.796875
43,187,85405,85407,2,0,2,22,full_window_off,189,191,111714.015625,1402.5447998046875,113116.5546875
44,41,20040,20041,1,0,1,143,full_window_off,93,94,182008.53125,199.9490509033203,182208.46875
45,171,74449,74451,2,0,2,190,full_window_off,302,304,113061.265625,1624.416748046875,114685.6796875
46,208,93515,93516,1,0,1,92,full_window_off,401,402,152368.015625,1241.0528564453125,153609.078125
47,115,53000,53003,3,0,3,97,full_window_off,445,448,196572.78125,2400.478515625,198973.25
48,260,120558,120559,1,0,1,63,full_window_off,74,75,177144.390625,758.3206176757812,177902.71875
49,112,51637,51638,1,0,1,184,full_window_off,277,278,139774.984375,1344.73828125,141119.71875
50,137,62283,62284,1,0,1,53,full_window_off,295,296,123521.921875,866.4679565429688,124388.390625
51,244,109955,109956,1,0,1,126,full_window_off,131,132,135265.28125,1212.1568603515625,136477.4375
52,295,136048,136050,2,0,2,63,full_window_off,480,482,177144.390625,670.6912841796875,177815.078125
53,71,33608,33609,1,0,1,21,full_window_off,236,237,95964.3046875,1211.838134765625,97176.1484375
54,231,103782,103784,2,0,2,107,full_window_off,206,208,130752.578125,1234.799560546875,131987.375
55,415,179401,179402,1,0,1,66,full_window_off,66,67,125622.4609375,302.6783752441406,125925.140625
56,54,26625,26627,2,0,2,187,full_window_off,68,70,106694.53125,1204.01708984375,107898.546875
57,431,185549,185550,1,0,1,26,full_window_off,47,48,98424.0625,978.33349609375,99402.390625
58,138,62804,62805,1,0,1,96,full_window_off,219,220,137073.90625,242.44308471679688,137316.359375
59,357,158387,158389,2,0,2,96,full_window_off,204,206,137073.90625,1617.75048828125,138691.65625
60,288,131404,131406,2,0,2,187,full_window_off,210,212,106694.53125,1411.999755859375,108106.53125
61,69,32369,32370,1,0,1,45,full_window_off,430,431,113243.09375,1136.1722412109375,114379.265625
