synthetic_sample_index,source_event_id,source_start,source_end,source_length,used_start_in_source,used_length,real_background_window,background_rule,insert_at,insert_end,original_background_energy,inserted_event_energy,final_aggregate_energy
0,341,153867,153868,1,0,1,26,full_window_off,507,508,98424.0625,283.7685241699219,98707.828125
1,206,92792,92794,2,0,2,85,full_window_off,383,385,119276.3984375,1515.047607421875,120791.453125
2,300,137611,137612,1,0,1,22,full_window_off,154,155,111714.015625,1204.932861328125,112918.9453125
3,164,71041,71043,2,0,2,184,full_window_off,365,367,139774.984375,1648.0540771484375,141423.03125
4,166,72406,72407,1,0,1,137,full_window_off,378,379,206999.34375,1160.68603515625,208160.03125
5,179,78756,78757,1,0,1,45,full_window_off,457,458,113243.09375,368.6503601074219,113611.734375
6,255,118417,118420,3,0,3,21,full_window_off,367,370,95964.3046875,1859.503173828125,97823.8125
7,268,125532,125534,2,0,2,82,full_window_off,370,372,131100.796875,608.875732421875,131709.671875
8,412,178438,178440,2,0,2,31,full_window_off,214,216,128249.078125,1046.763427734375,129295.84375
9,86,38537,38538,1,0,1,104,full_window_off,206,207,134540.359375,651.8464965820312,135192.21875
10,155,68109,68110,1,0,1,126,full_window_off,208,209,135265.28125,1205.69482421875,136470.984375
11,211,94131,94132,1,0,1,63,full_window_off,132,133,177144.390625,562.8480834960938,177707.25
12,57,27806,27807,1,0,1,161,full_window_off,46,47,110320.265625,902.216064453125,111222.4765625
13,147,65805,65806,1,0,1,107,full_window_off,67,68,130752.578125,1209.660400390625,131962.25
14,298,136896,136898,2,0,2,137,full_window_off,338,340,206999.34375,1629.67529296875,208629.015625
15,138,62804,62805,1,0,1,3,full_window_off,454,455,107898.984375,242.44308471679688,108141.421875
16,148,66616,66617,1,0,1,157,full_window_off,101,102,98240.4296875,1120.8876953125,99361.3203125
17,73,34444,34445,1,0,1,143,full_window_off,481,482,182008.53125,746.2363891601562,182754.765625
18,391,169950,169952,2,0,2,140,full_window_off,126,128,113589.75,1562.5347900390625,115152.28125
19,415,179401,179402,1,0,1,107,full_window_off,88,89,130752.578125,302.6783752441406,131055.2578125
20,58,28243,28247,4,0,4,165,full_window_off,140,144,131062.0859375,4883.81787109375,135945.90625
21,348,155619,155620,1,0,1,21,full_window_off,143,144,95964.3046875,281.00640869140625,96245.3125
22,129,57340,57341,1,0,1,26,full_window_off,345,346,98424.0625,859.5626831054688,99283.625
23,416,179945,179946,1,0,1,176,full_window_off,379,380,113158.3671875,545.2130737304688,113703.578125
