synthetic_sample_index,source_event_id,source_start,source_end,source_length,used_start_in_source,used_length,real_background_window,background_rule,insert_at,insert_end,original_background_energy,inserted_event_energy,final_aggregate_energy
0,22,24114,24211,97,0,97,49,full_window_off,353,450,97368.40625,49986.375,147354.78125
1,168,170496,170591,95,0,95,120,full_window_off,51,146,185183.78125,55566.3515625,240750.125
2,23,25154,25247,93,0,93,87,full_window_off,247,340,214539.765625,43912.5546875,258452.3125
3,6,7729,7827,98,0,98,129,full_window_off,225,323,235130.59375,53267.078125,288397.6875
4,2,2706,2802,96,0,96,19,full_window_off,189,285,107273.203125,46798.4609375,154071.671875
5,138,143126,143223,97,0,97,153,full_window_off,179,276,124275.296875,50400.9609375,174676.25
6,56,52964,53058,94,0,94,188,full_window_off,192,286,314633.53125,44809.91015625,359443.4375
7,60,57096,57191,95,0,95,81,full_window_off,5,100,102444.515625,45905.984375,148350.5
8,57,53248,53344,96,0,96,96,full_window_off,382,478,199145.34375,56578.8828125,255724.21875
9,141,145919,145921,2,0,2,147,full_window_off,278,280,191780.328125,52.6295166015625,191832.953125
10,21,24062,24064,2,0,2,73,full_window_off,509,511,419795.4375,83.13412475585938,419878.5625
11,8,10358,10453,95,0,95,164,full_window_off,286,381,129833.4609375,46551.15234375,176384.609375
12,54,50368,50380,12,0,12,147,full_window_off,419,431,191780.328125,1483.017822265625,193263.359375
13,8,10358,10453,95,0,95,21,full_window_off,278,373,153879.078125,46551.15234375,200430.234375
14,191,200395,200490,95,0,95,6,full_window_off,278,373,192011.609375,46557.875,238569.484375
15,26,26775,26875,100,0,100,122,full_window_off,257,357,183175.6875,56086.01171875,239261.6875
16,17,20875,20973,98,0,98,129,full_window_off,372,470,235130.59375,53278.7734375,288409.375
17,165,167737,167838,101,0,101,7,full_window_off,101,202,247739.5,53435.98046875,301175.46875
18,46,43286,43383,97,0,97,83,full_window_off,59,156,97735.1875,50424.703125,148159.890625
19,164,165307,165375,68,0,68,146,full_window_off,359,427,180541.1875,48364.55078125,228905.75
20,38,34828,34922,94,0,94,3,full_window_off,381,475,121577.1875,44351.50390625,165928.703125
21,55,51674,51712,38,0,38,123,full_window_off,431,469,133851.609375,44208.43359375,178060.046875
22,6,7729,7827,98,0,98,0,full_window_off,2,100,174828.171875,53267.078125,228095.234375
23,30,30312,30408,96,0,96,11,full_window_off,341,437,113479.0703125,50370.984375,163850.0625
24,116,123793,123891,98,0,98,191,full_window_off,332,430,356129.15625,51441.9609375,407571.125
