synthetic_sample_index,source_event_id,source_start,source_end,source_length,used_start_in_source,used_length,real_background_window,background_rule,insert_at,insert_end,original_background_energy,inserted_event_energy,final_aggregate_energy
0,188,197418,197514,96,0,96,20,full_window_off,332,428,138006.8125,51743.64453125,189750.46875
1,166,168149,168259,110,0,110,7,full_window_off,237,347,247739.5,80732.921875,328472.4375
2,110,116477,116567,90,0,90,66,full_window_off,282,372,163824.53125,37089.64453125,200914.171875
3,78,74780,74883,103,0,103,81,full_window_off,176,279,102444.515625,58748.84375,161193.375
4,153,154469,154579,110,0,110,120,full_window_off,152,262,185183.78125,76262.25,261446.03125
5,177,184702,184807,105,0,105,150,full_window_off,380,485,229760.546875,65988.484375,295749.03125
6,140,145806,145900,94,0,94,73,full_window_off,323,417,419795.4375,44607.4609375,464402.90625
7,63,59919,60032,113,0,113,49,full_window_off,180,293,97368.40625,81906.4140625,179274.828125
8,186,194499,194657,158,0,158,105,full_window_off,136,294,224183.25,104230.6015625,328413.84375
9,88,90379,90477,98,0,98,52,full_window_off,273,371,198335.328125,54218.50390625,252553.828125
10,67,62495,62540,45,0,45,102,full_window_off,173,218,125114.734375,6873.390625,131988.125
11,61,58729,58831,102,0,102,188,full_window_off,142,244,314633.53125,53462.4609375,368095.96875
12,13,16637,16727,90,0,90,71,full_window_off,225,315,213636.5625,37120.46875,250757.03125
13,18,22284,22380,96,0,96,55,full_window_off,69,165,232514.9375,48073.0546875,280588.0
14,96,99103,99201,98,0,98,136,full_window_off,401,499,251594.65625,51050.33984375,302645.0
15,74,70656,70751,95,0,95,162,full_window_off,89,184,231234.1875,55532.76953125,286766.96875
16,149,150208,150220,12,0,12,105,full_window_off,379,391,224183.25,1467.4732666015625,225650.71875
17,145,149087,149200,113,0,113,99,full_window_off,102,215,206797.34375,81794.21875,288591.5625
18,101,105122,105217,95,0,95,155,full_window_off,405,500,251002.484375,46075.54296875,297078.03125
19,178,184959,185057,98,0,98,34,full_window_off,247,345,128717.4921875,56408.078125,185125.578125
20,20,23953,24051,98,0,98,125,full_window_off,411,509,198225.59375,51424.1171875,249649.703125
21,10,14120,14215,95,0,95,123,full_window_off,395,490,133851.609375,45372.1796875,179223.796875
22,162,162426,162530,104,0,104,73,full_window_off,42,146,419795.4375,63215.3125,483010.75
23,177,184702,184807,105,0,105,175,full_window_off,236,341,107061.71875,65988.4765625,173050.203125
24,187,194809,194908,99,0,99,0,full_window_off,255,354,174828.171875,56371.203125,231199.375
25,7,9138,9216,78,0,78,179,full_window_off,295,373,221332.25,44289.765625,265622.0
26,175,180716,180736,20,0,20,105,full_window_off,41,61,224183.25,30963.34765625,255146.59375
27,5,6897,6992,95,0,95,63,full_window_off,310,405,124283.5625,45716.78515625,170000.34375
28,28,29908,30006,98,0,98,160,full_window_off,99,197,206942.6875,50035.5703125,256978.265625
29,95,97964,98064,100,0,100,37,full_window_off,192,292,152245.90625,57783.015625,210028.921875
30,86,87909,88009,100,0,100,0,full_window_off,234,334,174828.171875,57967.42578125,232795.59375
31,151,152804,152899,95,0,95,179,full_window_off,138,233,221332.25,44863.546875,266195.78125
32,169,171782,171876,94,0,94,164,full_window_off,414,508,129833.4609375,44815.23046875,174648.6875
33,71,67897,67998,101,0,101,160,full_window_off,232,333,206942.6875,53428.109375,260370.796875
34,11,14951,15049,98,0,98,48,full_window_off,278,376,87948.234375,53310.6328125,141258.875
35,30,30312,30408,96,0,96,80,full_window_off,323,419,102749.3125,50370.984375,153120.296875
36,28,29908,30006,98,0,98,91,full_window_off,89,187,201767.75,50035.57421875,251803.34375
37,103,107822,107916,94,0,94,44,full_window_off,404,498,226343.0,46852.609375,273195.59375
38,14,18432,18523,91,0,91,187,full_window_off,334,425,201319.96875,44523.62109375,245843.578125
39,164,165307,165375,68,0,68,160,full_window_off,83,151,206942.6875,48364.55078125,255307.25
40,178,184959,185057,98,0,98,111,full_window_off,399,497,181012.09375,56408.078125,237420.171875
41,168,170496,170591,95,0,95,108,full_window_off,156,251,133502.4375,55566.3515625,189068.8125
42,22,24114,24211,97,0,97,20,full_window_off,162,259,138006.8125,49986.37109375,187993.1875
43,155,158569,158670,101,0,101,93,full_window_off,198,299,261864.46875,53401.4609375,315265.9375
44,46,43286,43383,97,0,97,105,full_window_off,265,362,224183.25,50424.703125,274607.9375
45,188,197418,197514,96,0,96,137,full_window_off,253,349,211640.234375,51743.6484375,263383.875
46,174,179030,179128,98,0,98,79,full_window_off,388,486,107329.578125,51848.0546875,159177.625
47,71,67897,67998,101,0,101,24,full_window_off,172,273,176283.453125,53428.109375,229711.546875
48,24,25665,25758,93,0,93,23,full_window_off,370,463,117194.3046875,44333.5625,161527.859375
49,152,153088,153184,96,0,96,39,full_window_off,349,445,285454.375,56566.390625,342020.78125
50,13,16637,16727,90,0,90,50,full_window_off,298,388,145080.5,37120.47265625,182200.96875
51,58,54589,54683,94,0,94,137,full_window_off,366,460,211640.234375,45654.1015625,257294.34375
52,12,16360,16384,24,0,24,6,full_window_off,459,483,192011.609375,31487.896484375,223499.515625
53,99,102223,102318,95,0,95,93,full_window_off,193,288,261864.46875,44189.16796875,306053.65625
54,83,83420,83456,36,0,36,130,full_window_off,276,312,297441.84375,40943.5078125,338385.375
55,31,31352,31445,93,0,93,118,full_window_off,280,373,221844.078125,43831.8125,265675.875
56,21,24062,24064,2,0,2,71,full_window_off,403,405,213636.5625,83.13412475585938,213719.6875
57,118,123954,124051,97,0,97,25,full_window_off,16,113,105231.84375,49988.171875,155220.0
58,111,118272,118363,91,0,91,84,full_window_off,405,496,99757.953125,44506.6953125,144264.640625
59,100,102546,102642,96,0,96,179,full_window_off,89,185,221332.25,46761.2890625,268093.53125
60,85,85119,85218,99,0,99,26,full_window_off,237,336,208714.03125,56449.96875,265164.0
61,36,34318,34411,93,0,93,89,full_window_off,144,237,253025.703125,43103.625,296129.3125
62,35,33299,33374,75,0,75,19,full_window_off,224,299,107273.203125,16588.00390625,123861.2109375
63,181,188612,188711,99,0,99,36,full_window_off,167,266,202414.65625,56293.6953125,258708.328125
64,43,41451,41462,11,0,11,151,full_window_off,208,219,155515.90625,1493.200439453125,157009.109375
65,187,194809,194908,99,0,99,45,full_window_off,33,132,94832.9140625,56371.203125,151204.125
66,111,118272,118363,91,0,91,122,full_window_off,418,509,183175.6875,44506.6953125,227682.375
67,167,169250,169325,75,0,75,167,full_window_off,277,352,167353.75,46922.0859375,214275.8125
68,69,65467,65535,68,0,68,79,full_window_off,59,127,107329.578125,48351.4296875,155681.015625
69,82,83228,83339,111,0,111,67,full_window_off,14,125,290210.59375,85162.484375,375373.0625
70,39,35957,36051,94,0,94,99,full_window_off,154,248,206797.34375,44873.87890625,251671.21875
